Time (UTC),Forecasted Load,Actual Load
2024-01-01 00:00:00+00:00,38247.31,39336.85
2024-01-01 00:15:00+00:00,37860.82,38991.1
2024-01-01 00:30:00+00:00,37554.3,38615.81
2024-01-01 00:45:00+00:00,36990.92,38328.84
2024-01-01 01:00:00+00:00,36733.44,38408.0
2024-01-01 01:15:00+00:00,36528.78,38034.74
2024-01-01 01:30:00+00:00,36655.56,37661.8
2024-01-01 01:45:00+00:00,36691.05,37285.72
2024-01-01 02:00:00+00:00,36770.0,37307.9
2024-01-01 02:15:00+00:00,36450.34,37113.31
2024-01-01 02:30:00+00:00,36120.81,37040.6
2024-01-01 02:45:00+00:00,36364.31,37031.12
2024-01-01 03:00:00+00:00,36237.18,36984.56
2024-01-01 03:15:00+00:00,36282.44,36618.88
2024-01-01 03:30:00+00:00,36581.71,36612.78
2024-01-01 03:45:00+00:00,36606.56,36797.84
2024-01-01 04:00:00+00:00,36658.87,37366.92
2024-01-01 04:15:00+00:00,36944.17,37147.22
2024-01-01 04:30:00+00:00,37195.96,37002.0
2024-01-01 04:45:00+00:00,36985.29,36689.47
2024-01-01 05:00:00+00:00,36973.87,36592.63
2024-01-01 05:15:00+00:00,37854.11,36779.96
2024-01-01 05:30:00+00:00,38042.63,36707.9
2024-01-01 05:45:00+00:00,37920.37,36821.21
2024-01-01 06:00:00+00:00,38689.61,37000.39
2024-01-01 06:15:00+00:00,38912.77,37292.8
2024-01-01 06:30:00+00:00,39317.47,37479.13
2024-01-01 06:45:00+00:00,39904.35,37511.78
2024-01-01 07:00:00+00:00,40783.56,37688.22
2024-01-01 07:15:00+00:00,40992.43,37748.86
2024-01-01 07:30:00+00:00,42344.41,38167.06
2024-01-01 07:45:00+00:00,43284.79,38333.24
2024-01-01 08:00:00+00:00,44281.2,39273.02
2024-01-01 08:15:00+00:00,45118.22,39720.72
2024-01-01 08:30:00+00:00,45747.27,40186.96
2024-01-01 08:45:00+00:00,46227.56,40626.59
2024-01-01 09:00:00+00:00,47133.92,41318.74
2024-01-01 09:15:00+00:00,48000.4,41979.89
2024-01-01 09:30:00+00:00,48116.86,42607.88
2024-01-01 09:45:00+00:00,48871.1,43330.07
2024-01-01 10:00:00+00:00,49722.95,44046.5
2024-01-01 10:15:00+00:00,50163.48,44575.27
2024-01-01 10:30:00+00:00,50439.0,45221.67
2024-01-01 10:45:00+00:00,50587.62,45472.61
2024-01-01 11:00:00+00:00,50475.28,45721.06
2024-01-01 11:15:00+00:00,50442.07,45795.27
2024-01-01 11:30:00+00:00,50303.57,45993.76
2024-01-01 11:45:00+00:00,49723.23,45786.34
2024-01-01 12:00:00+00:00,50153.51,45413.94
2024-01-01 12:15:00+00:00,49240.91,45250.89
2024-01-01 12:30:00+00:00,48714.92,45221.98
2024-01-01 12:45:00+00:00,48439.41,45120.35
2024-01-01 13:00:00+00:00,48679.02,45197.77
2024-01-01 13:15:00+00:00,48777.74,44891.92
2024-01-01 13:30:00+00:00,48566.93,44815.83
2024-01-01 13:45:00+00:00,48224.05,44711.77
2024-01-01 14:00:00+00:00,47716.91,45010.12
2024-01-01 14:15:00+00:00,47670.33,45217.13
2024-01-01 14:30:00+00:00,47324.42,44836.37
2024-01-01 14:45:00+00:00,47668.59,44745.59
2024-01-01 15:00:00+00:00,48093.28,45616.16
2024-01-01 15:15:00+00:00,48058.65,46083.37
2024-01-01 15:30:00+00:00,48364.83,47286.36
2024-01-01 15:45:00+00:00,49180.93,48539.67
2024-01-01 16:00:00+00:00,50112.99,49669.14
2024-01-01 16:15:00+00:00,50931.88,50122.45
2024-01-01 16:30:00+00:00,51710.01,50137.17
2024-01-01 16:45:00+00:00,52265.82,50553.67
2024-01-01 17:00:00+00:00,52535.06,50683.11
2024-01-01 17:15:00+00:00,52491.5,50467.41
2024-01-01 17:30:00+00:00,52562.65,50106.74
2024-01-01 17:45:00+00:00,52392.54,49540.58
2024-01-01 18:00:00+00:00,52670.26,49552.41
2024-01-01 18:15:00+00:00,51980.59,49269.93
2024-01-01 18:30:00+00:00,51462.67,49043.8
2024-01-01 18:45:00+00:00,50979.65,48607.27
2024-01-01 19:00:00+00:00,50751.83,48230.57
2024-01-01 19:15:00+00:00,49610.06,47360.97
2024-01-01 19:30:00+00:00,48727.49,46713.87
2024-01-01 19:45:00+00:00,48321.92,45980.74
2024-01-01 20:00:00+00:00,47933.95,45991.61
2024-01-01 20:15:00+00:00,47060.59,45389.68
2024-01-01 20:30:00+00:00,47383.36,44823.88
2024-01-01 20:45:00+00:00,46741.22,44390.21
2024-01-01 21:00:00+00:00,48378.12,44576.16
2024-01-01 21:15:00+00:00,47656.21,43967.67
2024-01-01 21:30:00+00:00,46750.37,43381.39
2024-01-01 21:45:00+00:00,46313.21,42731.68
2024-01-01 22:00:00+00:00,45415.94,42101.31
2024-01-01 22:15:00+00:00,44748.08,41382.33
2024-01-01 22:30:00+00:00,44316.06,40794.69
2024-01-01 22:45:00+00:00,43700.52,39951.18
2024-01-01 23:00:00+00:00,43775.22,39286.72
2024-01-01 23:15:00+00:00,43165.17,38599.95
2024-01-01 23:30:00+00:00,42776.0,38094.33
2024-01-01 23:45:00+00:00,42223.89,37578.68
2024-01-02 00:00:00+00:00,41830.57,37287.31
2024-01-02 00:15:00+00:00,41653.71,37005.12
2024-01-02 00:30:00+00:00,41300.77,36956.19
2024-01-02 00:45:00+00:00,41120.04,37063.7
2024-01-02 01:00:00+00:00,40858.58,37432.85
2024-01-02 01:15:00+00:00,40563.15,36996.43
2024-01-02 01:30:00+00:00,40500.64,36938.76
2024-01-02 01:45:00+00:00,40652.54,36799.43
2024-01-02 02:00:00+00:00,40795.52,36951.09
2024-01-02 02:15:00+00:00,40897.78,37015.29
2024-01-02 02:30:00+00:00,40971.01,37421.21
2024-01-02 02:45:00+00:00,41243.51,38046.32
2024-01-02 03:00:00+00:00,41938.34,38821.79
2024-01-02 03:15:00+00:00,42314.86,39108.63
2024-01-02 03:30:00+00:00,42923.9,39632.57
2024-01-02 03:45:00+00:00,43545.03,40084.67
2024-01-02 04:00:00+00:00,44590.29,41162.66
2024-01-02 04:15:00+00:00,45421.76,41606.55
2024-01-02 04:30:00+00:00,46552.51,42870.66
2024-01-02 04:45:00+00:00,47980.89,44174.79
2024-01-02 05:00:00+00:00,50419.75,46016.59
2024-01-02 05:15:00+00:00,52206.72,47111.65
2024-01-02 05:30:00+00:00,53283.16,48098.07
2024-01-02 05:45:00+00:00,54468.32,49677.29
2024-01-02 06:00:00+00:00,55939.19,50986.59
2024-01-02 06:15:00+00:00,56893.19,52036.79
2024-01-02 06:30:00+00:00,58068.46,52993.2
2024-01-02 06:45:00+00:00,58610.61,54242.48
2024-01-02 07:00:00+00:00,59195.45,55091.91
2024-01-02 07:15:00+00:00,59644.29,55931.09
2024-01-02 07:30:00+00:00,60292.69,56292.51
2024-01-02 07:45:00+00:00,60411.16,56874.37
